BugId,CId,project,ER_QA,R_QA,ER_Electra,R_Electra,ER_MLM,R_MLM,CodeBERT_MLM,CodeBERT_Base
74241,242250,SWT,9,8,8,3,9,5,2,2
82475,241893,JDT,4,1,5,9,4,3,5,6
176299,241842,Birt,10,1,1,1,1,1,1,1
74882,241332,SWT,11,11,1,10,4,11,4,4
83697,241179,JDT,11,11,1,11,1,11,1,1
81098,241128,JDT,11,9,5,6,4,11,5,5
73100,240516,SWT,5,7,10,5,10,4,9,11
81140,240516,JDT,8,7,4,9,3,3,6,6
81250,240057,JDT,11,11,2,11,11,11,6,7
179661,239700,Birt,8,5,11,8,10,5,11,11
77983,239139,SWT,4,9,5,3,6,10,3,2
40243,239088,JDT,7,1,9,8,9,3,9,11
182000,238986,Birt,1,3,3,7,5,4,7,9
178682,238782,Birt,8,9,10,9,10,10,10,8
78562,238680,SWT,11,7,3,3,8,8,5,4
183897,237609,Birt,3,10,1,9,1,1,6,5
183910,237456,Birt,2,8,4,4,3,10,9,11
183562,236895,Birt,9,2,10,4,8,2,6,2
83262,235875,SWT,7,3,11,11,4,6,11,11
183733,235110,Birt,6,1,3,11,3,2,7,8
183733,234600,Birt,1,9,7,11,6,11,8,11
85377,234498,JDT,6,2,4,3,7,4,6,5
160700,233682,Eclipse_Platform_UI,3,8,4,10,3,10,2,3
88188,232968,JDT,4,9,8,2,6,8,1,3
161828,232815,Eclipse_Platform_UI,7,8,3,11,4,4,7,6
85831,232764,JDT,9,11,1,11,1,10,3,2
85119,232713,SWT,9,10,3,11,7,11,10,11
161401,232305,Eclipse_Platform_UI,4,3,8,4,5,5,1,4
85547,231948,SWT,7,7,9,6,10,8,7,8
85875,231795,SWT,3,8,3,2,8,2,3,4
162916,231744,Eclipse_Platform_UI,10,7,1,4,2,1,4,4
88741,231591,JDT,10,11,2,8,2,10,3,4
88941,231234,JDT,4,1,2,2,2,2,1,1
82703,230724,SWT,11,7,2,4,2,5,3,3
87664,230061,SWT,6,10,11,2,10,5,8,6
82336,229755,SWT,8,8,8,2,8,7,2,3
186965,228939,Birt,7,10,7,11,10,11,8,6
87695,228582,SWT,11,11,1,11,1,11,1,1
162805,227766,Eclipse_Platform_UI,1,3,3,6,3,4,1,2
87695,227511,SWT,11,11,1,1,1,11,1,1
164217,227409,Eclipse_Platform_UI,8,11,9,3,11,10,6,5
186861,227358,Birt,3,7,9,8,4,11,9,9
187201,226848,Birt,2,10,3,11,1,10,9,7
187201,226746,Birt,8,2,6,4,6,1,9,9
79881,226236,SWT,11,9,1,3,1,10,2,3
90223,226083,SWT,10,11,2,6,1,3,3,3
167080,224808,Birt,10,9,6,11,6,10,8,5
85312,223737,SWT,7,1,10,1,4,1,8,6
67626,222258,SWT,10,1,1,1,1,5,1,1
87294,220473,SWT,5,3,8,1,10,3,8,6
167450,220167,Eclipse_Platform_UI,1,3,11,4,11,2,11,11
86830,220014,SWT,3,6,4,1,8,8,1,2
176467,219708,Birt,11,7,7,8,7,6,9,9
188829,219147,Birt,10,11,1,9,1,8,10,11
188835,218943,Birt,1,9,7,11,6,9,10,10
147530,218892,Eclipse_Platform_UI,11,1,8,11,8,1,8,8
63266,218637,SWT,10,10,5,11,6,8,6,8
87636,218535,SWT,9,10,1,10,1,11,3,9
188204,218535,Birt,7,6,7,9,7,7,6,4
91159,218178,SWT,10,9,1,3,1,6,2,5
189108,217770,Birt,3,9,2,10,2,9,6,5
72784,217566,SWT,6,9,6,1,3,9,1,1
72784,217515,SWT,9,9,9,11,9,9,10,10
93918,217311,SWT,11,4,2,3,4,3,5,1
94818,217107,SWT,2,6,3,3,3,2,1,1
90246,215679,SWT,10,10,5,3,3,3,2,6
90246,215628,SWT,10,10,4,6,1,1,2,2
169529,215526,Eclipse_Platform_UI,4,5,5,9,2,10,9,6
140697,215373,Eclipse_Platform_UI,8,7,5,8,1,4,8,9
94946,214965,SWT,6,8,3,8,7,7,9,11
167893,214557,Eclipse_Platform_UI,11,4,10,9,6,1,9,9
96494,213996,SWT,1,1,4,10,3,4,4,2
169696,213996,Eclipse_Platform_UI,4,8,2,10,6,9,5,5
169694,213792,Eclipse_Platform_UI,7,9,4,11,8,9,8,8
169697,213384,Eclipse_Platform_UI,4,7,5,11,8,7,10,9
97011,212721,SWT,8,9,1,4,7,3,8,8
171998,212262,Eclipse_Platform_UI,4,7,3,2,8,7,2,3
97125,212160,SWT,10,11,7,3,7,5,9,5
150805,212109,Eclipse_Platform_UI,3,7,2,1,1,10,2,1
171415,211854,Eclipse_Platform_UI,8,11,2,11,2,7,2,2
96212,210528,SWT,6,11,1,11,3,10,6,5
99167,210273,SWT,8,9,5,1,5,9,2,3
99167,210171,SWT,8,6,5,2,8,3,2,1
99167,210069,SWT,11,6,8,1,9,5,2,1
100231,208896,SWT,10,3,9,11,10,11,10,11
102543,207315,SWT,7,4,8,2,7,1,7,5
105213,205785,SWT,6,9,4,8,6,3,10,10
105849,205530,SWT,1,5,6,2,11,4,11,11
105133,205326,SWT,4,8,5,1,3,9,3,4
34159,203388,SWT,6,6,7,1,11,11,5,8
110346,199869,SWT,9,7,2,8,2,9,8,9
93380,195993,SWT,2,8,1,2,1,1,1,1
113244,195840,SWT,4,10,1,10,2,2,5,5
99381,194157,SWT,4,10,8,5,8,3,6,7
117816,194055,SWT,1,4,3,10,1,1,4,1
118240,193953,SWT,11,3,3,8,3,3,5,7
124414,191658,SWT,1,1,1,2,1,1,9,10
54426,190383,SWT,4,9,1,3,1,1,4,2
129535,188649,SWT,6,10,3,2,4,10,1,2
130101,188139,SWT,7,4,4,10,4,3,6,6
108996,186915,SWT,2,10,3,11,2,10,7,6
131160,186711,SWT,11,10,3,2,2,3,9,3
83133,186354,SWT,11,4,2,1,5,5,7,4
123922,180897,SWT,11,11,1,11,1,1,1,1
123922,180540,SWT,11,11,1,11,1,1,1,1
123922,180387,SWT,10,11,1,11,1,1,1,1
123922,180183,SWT,1,11,1,11,1,1,1,1
137320,178755,SWT,11,3,1,8,2,1,6,5
134353,176919,SWT,9,7,7,1,10,2,4,6
145526,176154,SWT,8,6,3,10,5,3,3,10
133183,174522,SWT,11,3,9,11,9,3,1,4
134760,173553,SWT,11,7,7,5,11,11,2,6
134760,173145,SWT,2,11,5,5,2,1,11,11
146250,172992,SWT,9,9,1,4,2,3,4,6
150764,172023,SWT,4,1,6,11,4,1,11,11
83935,43401,AspectJ,4,4,10,3,10,10,5,4
104212,43197,AspectJ,10,9,2,8,2,1,6,6
64568,42942,AspectJ,3,8,1,8,2,9,4,4
91114,42891,AspectJ,6,11,1,2,1,10,1,2
78261,42840,AspectJ,9,10,3,5,2,7,4,5
86057,42789,AspectJ,2,11,2,11,2,11,1,3
82989,42585,AspectJ,9,11,2,11,4,11,4,4
82989,42483,AspectJ,10,10,1,2,1,10,2,2
104720,42381,AspectJ,11,8,4,1,4,3,7,7
107713,42279,AspectJ,8,1,2,1,1,1,4,3
104024,41973,AspectJ,9,11,1,1,1,11,1,2
107858,41871,AspectJ,11,2,1,8,1,1,3,1
59076,41616,AspectJ,11,11,1,11,1,11,5,7
101606,40800,AspectJ,1,10,1,11,1,10,2,2
108886,40341,AspectJ,4,6,5,10,1,9,6,7
43611,40239,Tomcat,11,7,2,9,2,8,11,11
109016,40188,AspectJ,8,11,4,10,2,10,1,4
44084,40137,Tomcat,10,11,5,1,2,10,8,8
