BugId,CId,project,Roberta_MLM,Roberta_QA,Roberta_Electra,Reformer_MLM,Reformer_QA,Reformer_Electra
73100,240516,SWT,4,5,10,4,7,5
73890,257193,JDT,10,11,2,10,10,11
74241,242250,SWT,5,9,8,5,8,3
74627,247044,JDT,11,8,5,11,7,11
74882,241332,SWT,11,11,1,11,11,10
76374,36414,AspectJ,1,10,1,1,2,9
76506,320892,Eclipse_Platform_UI,7,5,6,7,3,1
77076,35547,AspectJ,1,1,1,1,1,1
77269,34629,AspectJ,1,1,1,1,1,11
77439,252807,JDT,4,3,4,4,5,2
77738,319311,Eclipse_Platform_UI,11,10,10,11,9,10
77839,253164,JDT,1,5,2,1,7,10
77950,248931,JDT,1,11,7,1,10,5
77983,239139,SWT,10,4,5,10,9,3
78051,248676,JDT,1,11,1,1,1,11
78261,42840,AspectJ,7,9,3,7,10,5
78562,238680,SWT,8,11,3,8,7,3
79881,226236,SWT,10,11,1,10,9,3
79989,247962,JDT,11,11,1,11,11,11
81098,241128,JDT,11,11,5,11,9,6
81140,240516,JDT,3,8,4,3,7,9
81250,240057,JDT,11,11,2,11,11,11
81598,317883,Eclipse_Platform_UI,10,4,8,10,10,11
82336,229755,SWT,7,8,8,7,8,2
82475,241893,JDT,3,4,5,3,1,9
82703,230724,SWT,5,11,2,5,7,4
82743,294780,Eclipse_Platform_UI,9,10,7,9,10,9
82989,42483,AspectJ,10,10,1,10,10,2
82989,42585,AspectJ,11,9,2,11,11,11
83133,186354,SWT,5,11,2,5,4,1
83262,235875,SWT,6,7,11,6,3,11
83697,241179,JDT,11,11,1,11,11,11
83935,43401,AspectJ,10,4,10,10,4,3
84314,281265,Eclipse_Platform_UI,11,10,5,11,9,11
84586,314772,Eclipse_Platform_UI,7,10,7,7,7,10
85119,232713,SWT,11,9,3,11,10,11
85312,223737,SWT,1,7,10,1,1,1
85377,234498,JDT,4,6,4,4,2,3
85547,231948,SWT,8,7,9,8,7,6
85831,232764,JDT,10,9,1,10,11,11
85875,231795,SWT,2,3,3,2,8,2
86057,42789,AspectJ,11,2,2,11,11,11
86830,220014,SWT,8,3,4,8,6,1
87294,220473,SWT,3,5,8,3,3,1
87636,218535,SWT,11,9,1,11,10,10
87664,230061,SWT,5,6,11,5,10,2
87695,227511,SWT,11,11,1,11,11,1
87695,228582,SWT,11,11,1,11,11,11
88188,232968,JDT,8,4,8,8,9,2
88653,306561,Eclipse_Platform_UI,6,1,6,6,6,11
88741,231591,JDT,10,10,2,10,11,8
88941,231234,JDT,2,4,2,2,1,2
